Time,X,Y,Z,Height,Temper,Laser Power,Powder Gas,Coaxial Gas,Shield Gas,Feeder1,Feeder2,Feeder3
12_14:54:27.030,0.000,0.000,0.000,0.000,900.000,0.000,-0.016,-0.038,0.181,0,0,0
12_14:54:27.301,0.000,0.000,0.000,0.000,900.000,0.000,-0.017,12.499,0.215,0,0,0
12_14:54:27.618,0.000,0.000,0.000,0.000,900.000,0.000,-0.015,0.005,0.196,424875,0,0
12_14:54:29.093,0.000,0.000,0.000,0.000,900.000,0.000,2.765,9.061,0.184,1616,0,0
12_14:54:29.910,0.000,0.000,0.000,0.000,900.000,0.000,3.097,9.031,0.186,289,0,0
12_14:54:30.203,0.000,0.000,0.000,0.000,900.000,0.000,3.058,9.026,0.183,176,0,0
12_14:54:30.503,0.000,0.000,0.000,0.000,900.000,0.000,3.017,9.024,0.186,483,0,0
12_14:54:30.845,0.000,0.000,0.000,0.000,900.000,0.000,3.002,9.023,0.189,564,0,0
12_14:54:31.132,0.000,0.000,0.000,0.000,900.000,0.000,3.000,9.008,0.187,403,0,0
12_14:54:31.424,0.000,0.000,0.000,0.000,900.000,0.000,3.004,9.014,0.190,477,0,0
12_14:54:31.708,0.000,0.000,0.000,0.000,900.000,0.000,3.006,9.008,0.190,487,0,0
12_14:54:32.006,0.000,0.000,0.000,0.000,900.000,0.000,3.009,9.018,0.183,477,0,0
12_14:54:32.312,0.000,0.000,0.000,0.000,900.000,0.000,3.008,9.014,0.184,475,0,0
12_14:54:32.567,0.000,0.000,0.000,0.000,900.000,0.000,3.009,9.010,0.184,482,0,0
12_14:54:32.913,0.000,0.000,0.000,0.000,900.000,0.000,3.008,9.002,0.189,577,0,0
12_14:54:33.195,0.000,0.000,0.000,0.000,900.000,0.000,3.008,9.011,0.186,396,0,0
12_14:54:33.473,0.000,0.000,0.000,0.000,900.000,0.000,3.007,9.010,0.187,475,0,0
12_14:54:33.776,0.000,0.000,0.000,0.000,900.000,0.000,3.008,9.009,0.188,484,0,0
12_14:54:34.063,0.000,0.000,0.000,0.000,900.000,0.000,3.008,9.005,0.183,482,0,0
12_14:54:34.350,0.000,0.000,0.000,0.000,900.000,0.000,3.004,9.005,0.183,475,0,0
12_14:54:34.651,0.000,0.000,0.000,0.000,900.000,0.000,3.008,9.011,0.182,483,0,0
12_14:54:35.015,0.000,0.000,0.000,0.000,900.000,0.000,3.003,9.006,0.187,577,0,0
12_14:54:35.300,0.000,0.000,0.000,0.000,900.000,0.000,3.008,9.006,0.189,394,0,0
12_14:54:35.586,0.000,0.000,0.000,0.000,900.000,0.000,3.007,9.014,0.185,485,0,0
12_14:54:35.930,0.000,0.000,0.000,0.000,900.000,0.000,3.008,9.006,0.186,561,0,0
12_14:54:36.221,0.000,0.000,0.000,0.000,900.000,0.000,3.009,9.011,0.190,406,0,0
12_14:54:36.507,0.343,0.000,0.000,0.000,900.000,0.000,3.005,9.011,0.189,481,0,0
12_14:54:36.810,14.334,0.000,0.000,0.000,900.000,0.000,3.003,9.007,0.186,470,0,0
12_14:54:37.095,29.399,0.001,0.000,0.000,900.000,0.000,3.007,9.000,0.183,482,0,0
12_14:54:37.380,40.331,0.001,0.000,0.010,1495.500,589.000,3.008,9.004,0.191,487,0,0
12_14:54:37.671,44.356,0.001,0.000,-0.019,1472.000,590.000,3.004,9.005,0.185,473,0,0
12_14:54:38.019,48.497,0.001,0.000,0.013,1498.300,590.000,3.005,9.005,0.190,574,0,0
12_14:54:38.302,53.346,0.001,0.000,0.036,1465.200,591.000,3.008,9.007,0.187,399,0,0
12_14:54:38.605,57.410,0.001,0.000,0.035,1490.200,589.000,3.009,9.002,0.189,485,0,0
12_14:54:38.963,61.889,0.001,0.000,-0.008,1513.600,589.000,3.005,9.002,0.184,558,0,0
12_14:54:39.254,66.881,0.001,0.000,-0.003,1481.200,592.000,3.006,9.001,0.187,407,0,0
12_14:54:39.556,70.889,0.001,0.000,-0.020,1520.000,590.000,3.007,9.002,0.189,480,0,0
12_14:54:39.845,75.159,0.001,0.000,-0.025,1505.400,591.000,3.003,9.000,0.188,480,0,0
12_14:54:40.130,79.239,0.001,0.000,-0.036,1500.400,590.000,3.003,9.000,0.183,480,0,0
12_14:54:40.432,79.999,3.523,0.000,-0.018,1492.400,589.000,3.002,9.006,0.190,478,0,0
12_14:54:40.734,79.999,7.558,0.000,-0.007,1484.700,591.000,3.003,9.001,0.185,475,0,0
12_14:54:41.051,79.999,11.674,0.000,-0.029,1495.900,591.000,3.008,9.003,0.188,583,0,0
12_14:54:41.355,78.213,15.000,0.000,0.039,1525.200,591.000,3.007,8.999,0.188,401,0,0
12_14:54:41.640,74.174,15.000,0.000,0.020,1506.600,592.000,3.005,9.001,0.189,468,0,0
12_14:54:41.970,70.111,15.000,0.000,0.042,1501.500,590.000,3.009,9.005,0.187,575,0,0
12_14:54:42.276,65.193,15.000,0.000,0.018,1513.700,591.000,3.004,9.009,0.185,405,0,0
12_14:54:42.549,61.110,15.000,0.000,0.064,1515.700,590.000,3.003,9.004,0.187,483,0,0
12_14:54:42.849,57.022,15.000,0.000,0.018,1514.700,592.000,3.004,9.008,0.182,487,0,0
12_14:54:43.152,52.791,15.000,0.000,0.041,1522.500,591.000,3.005,9.003,0.188,469,0,0
12_14:54:43.424,48.696,15.000,0.000,0.045,1518.900,590.000,3.002,9.005,0.183,486,0,0
12_14:54:43.726,44.602,15.000,0.000,0.031,1533.700,590.000,3.004,8.999,0.189,480,0,0
12_14:54:44.107,40.127,15.000,0.000,0.043,1525.400,592.000,3.005,9.003,0.186,571,0,0
12_14:54:44.381,35.170,15.000,0.000,0.055,1536.000,589.000,3.004,9.001,0.190,398,0,0
12_14:54:44.665,31.111,15.000,0.000,0.023,1520.700,591.000,3.009,9.001,0.188,474,0,0
12_14:54:45.047,26.824,15.000,0.000,0.075,1520.800,591.000,3.006,9.001,0.188,576,0,0
12_14:54:45.301,22.092,15.000,0.000,0.042,1498.300,589.000,3.004,9.001,0.188,394,0,0
12_14:54:45.603,18.018,15.000,0.000,0.046,1552.400,591.000,3.007,9.000,0.188,480,0,0
12_14:54:45.906,13.994,15.000,0.000,0.022,1523.900,591.000,3.003,9.000,0.186,478,0,0
12_14:54:46.161,9.934,15.000,0.000,0.014,1519.900,590.000,3.008,9.001,0.190,478,0,0
12_14:54:46.463,5.859,15.000,0.000,0.050,1534.400,590.000,3.007,9.012,0.192,477,0,0
12_14:54:46.765,1.812,15.000,0.000,0.007,1506.400,589.000,3.005,9.001,0.192,484,0,0
12_14:54:47.099,0.002,12.463,0.000,0.010,1504.300,591.000,3.006,9.003,0.186,577,0,0
12_14:54:47.402,0.002,7.303,0.000,0.005,1514.500,590.000,3.007,9.005,0.188,404,0,0
12_14:54:47.719,0.002,3.241,0.000,-0.004,1514.500,590.000,3.006,9.003,0.184,482,0,0
12_14:54:48.021,0.947,0.002,0.000,0.019,1514.500,591.000,3.007,9.003,0.187,579,0,0
12_14:54:48.322,5.882,0.002,0.000,0.037,1533.400,590.000,3.008,9.003,0.189,391,0,0
12_14:54:48.594,9.936,0.002,0.000,0.034,1516.300,589.000,3.006,9.002,0.190,483,0,0
12_14:54:48.910,14.099,0.002,0.000,0.001,1532.800,589.000,3.002,9.001,0.187,478,0,0
12_14:54:49.181,18.056,0.002,0.000,0.037,1510.500,589.000,3.005,9.001,0.184,480,0,0
12_14:54:49.483,22.101,0.002,0.000,0.047,1496.700,590.000,3.004,9.008,0.184,478,0,0
12_14:54:49.736,26.177,0.002,0.000,0.029,1527.500,591.000,3.002,9.000,0.188,476,0,0
12_14:54:50.082,30.214,0.002,0.000,0.032,1512.000,589.000,3.002,8.997,0.187,581,0,0
12_14:54:50.388,35.139,0.002,0.000,0.030,1543.400,589.000,3.001,9.002,0.189,398,0,0
12_14:54:50.690,39.692,0.002,0.000,0.000,965.200,0.000,3.003,9.008,0.189,484,0,0
12_14:54:51.035,29.448,0.132,0.000,0.000,900.000,0.000,3.003,9.001,0.185,568,0,0
12_14:54:51.344,12.237,0.350,0.000,0.000,900.000,0.000,3.006,9.006,0.185,405,0,0
12_14:54:51.630,0.505,0.497,0.000,0.083,1520.200,591.000,3.002,8.996,0.189,478,0,0
12_14:54:51.890,0.502,4.464,-0.001,0.107,1488.100,589.000,3.005,9.002,0.188,487,0,0
12_14:54:52.202,0.502,8.694,-0.001,0.068,1449.400,589.000,3.007,9.001,0.187,480,0,0
12_14:54:52.489,0.502,12.553,-0.001,0.109,1496.400,589.000,3.002,9.002,0.186,473,0,0
12_14:54:52.761,0.999,12.678,0.000,0.118,1485.700,589.000,3.006,9.005,0.186,480,0,0
12_14:54:53.095,0.999,8.605,0.000,0.074,1503.100,588.000,3.006,9.001,0.184,569,0,0
12_14:54:53.382,0.999,3.644,0.000,0.079,1516.100,588.000,3.003,9.003,0.189,404,0,0
12_14:54:53.672,1.503,1.135,0.000,0.121,1466.100,588.000,2.999,9.003,0.189,477,0,0
12_14:54:53.986,1.499,5.324,0.000,0.063,1500.100,588.000,3.002,9.004,0.184,480,0,0
12_14:54:54.257,1.499,9.267,0.000,0.088,1492.900,588.000,3.000,8.997,0.187,478,0,0
12_14:54:54.558,1.499,13.532,0.000,0.105,1467.700,588.000,3.004,9.000,0.190,482,0,0
12_14:54:54.861,1.999,11.320,0.000,0.115,1494.400,589.000,3.005,9.004,0.183,480,0,0
12_14:54:55.208,1.999,7.213,0.000,0.114,1523.700,589.000,3.004,9.000,0.190,581,0,0
12_14:54:55.509,1.999,2.328,0.000,0.096,1537.000,589.000,3.001,9.007,0.184,394,0,0
12_14:54:55.781,2.499,2.461,0.000,0.118,1530.700,588.000,3.004,9.001,0.187,480,0,0
12_14:54:56.128,2.499,6.609,0.000,0.126,1517.000,589.000,3.005,8.994,0.190,567,0,0
12_14:54:56.430,2.499,11.489,0.000,0.093,1494.000,589.000,3.002,9.003,0.188,410,0,0
12_14:54:56.725,3.000,13.535,0.000,0.100,1450.900,589.000,3.002,9.000,0.187,478,0,0
12_14:54:57.032,2.999,9.493,0.000,0.118,1520.700,589.000,3.001,9.004,0.190,471,0,0
12_14:54:57.339,2.999,4.976,0.000,0.088,1446.500,590.000,3.004,9.003,0.187,482,0,0
12_14:54:57.657,2.999,0.894,0.000,0.107,1546.600,589.000,3.005,9.004,0.182,482,0,0
12_14:54:57.912,3.499,3.862,0.000,0.114,1479.700,588.000,3.003,8.999,0.192,474,0,0
12_14:54:58.240,3.499,8.513,0.000,0.123,1432.000,588.000,3.001,9.006,0.190,528,0,0
12_14:54:58.533,3.499,12.778,0.000,0.131,1513.400,588.000,3.002,8.998,0.188,433,0,0
12_14:54:58.836,3.999,12.357,0.000,0.107,1514.300,588.000,3.004,8.994,0.185,481,0,0
12_14:54:59.169,3.999,8.300,0.000,0.126,1518.400,588.000,3.003,9.002,0.184,571,0,0
12_14:54:59.470,3.999,3.132,0.000,0.112,1488.400,589.000,3.003,8.999,0.187,409,0,0
12_14:54:59.756,4.499,1.597,0.000,0.100,1419.900,588.000,3.001,9.003,0.183,477,0,0
12_14:55:00.102,4.499,5.645,0.000,0.086,1514.700,588.000,3.001,8.998,0.190,564,0,0
12_14:55:00.409,4.499,10.533,0.000,0.084,1502.000,588.000,3.004,8.999,0.186,411,0,0
12_14:55:00.696,4.558,14.445,0.000,0.119,1459.800,588.000,3.008,9.007,0.187,480,0,0
12_14:55:00.950,4.999,10.924,0.000,0.099,1414.500,588.000,3.003,8.996,0.188,470,0,0
12_14:55:01.275,4.999,6.208,0.000,0.115,1489.200,588.000,3.002,9.002,0.190,502,0,0
12_14:55:01.586,4.999,1.981,0.000,0.123,1515.100,588.000,3.003,9.002,0.183,468,0,0
12_14:55:01.888,5.499,2.767,0.000,0.113,1497.800,588.000,3.004,9.001,0.188,477,0,0
12_14:55:02.206,5.499,6.929,0.000,0.103,1503.700,588.000,3.005,9.006,0.191,565,0,0
12_14:55:02.509,5.499,11.806,0.000,0.104,1495.200,589.000,3.001,9.001,0.190,399,0,0
12_14:55:02.800,5.999,13.178,0.000,0.120,1526.400,588.000,3.000,8.999,0.187,483,0,0
12_14:55:03.157,5.999,8.962,0.000,0.086,1520.400,589.000,3.004,9.006,0.185,571,0,0
12_14:55:03.444,5.999,4.020,0.000,0.094,1411.800,588.000,3.006,9.004,0.184,402,0,0
12_14:55:03.746,6.510,0.727,0.000,0.101,1549.600,588.000,3.002,9.001,0.188,483,0,0
12_14:55:04.081,6.499,4.829,0.000,0.082,1525.700,589.000,3.006,8.998,0.190,478,0,0
12_14:55:04.335,6.499,9.082,0.000,0.093,1510.800,588.000,3.004,9.009,0.189,476,0,0
12_14:55:04.637,6.499,13.358,0.000,0.105,1387.800,589.000,3.004,9.001,0.190,480,0,0
12_14:55:04.940,6.999,11.425,0.000,0.085,1538.700,589.000,3.006,9.001,0.187,479,0,0
12_14:55:05.288,6.999,7.321,0.000,0.141,1504.200,589.000,3.004,9.003,0.190,584,0,0
12_14:55:05.569,6.999,2.559,0.000,0.135,1468.500,589.000,3.004,8.999,0.185,394,0,0
12_14:55:05.862,7.499,2.362,0.000,0.101,1468.500,589.000,3.000,9.005,0.191,476,0,0
12_14:55:06.206,7.499,6.393,0.000,0.078,1468.500,589.000,3.001,8.993,0.190,574,0,0
12_14:55:06.513,7.499,11.346,0.000,0.087,1526.100,589.000,3.004,8.999,0.191,402,0,0
12_14:55:06.815,7.999,13.440,0.000,0.103,1562.100,589.000,3.002,9.007,0.188,481,0,0
12_14:55:07.163,7.999,9.414,0.000,0.104,1437.400,589.000,3.004,9.002,0.188,582,0,0
12_14:55:07.465,7.999,4.487,0.000,0.054,1442.800,588.000,3.004,8.998,0.190,392,0,0
12_14:55:07.767,8.167,0.500,0.000,0.074,1535.100,589.000,3.001,8.997,0.185,485,0,0
12_14:55:08.038,8.499,4.384,0.000,0.099,1499.300,589.000,3.000,9.004,0.186,476,0,0
12_14:55:08.332,8.499,8.722,0.000,0.086,1529.100,588.000,3.005,9.006,0.188,482,0,0
12_14:55:08.609,8.499,12.781,0.000,0.058,1503.200,589.000,3.004,8.999,0.184,478,0,0
12_14:55:08.895,8.999,12.570,0.000,0.121,1534.100,589.000,3.003,9.004,0.190,480,0,0
12_14:55:09.244,8.999,8.519,0.000,0.106,1370.500,589.000,2.998,9.001,0.187,573,0,0
12_14:55:09.551,8.999,3.294,0.000,0.108,1511.000,589.000,3.006,8.998,0.190,411,0,0
12_14:55:09.834,9.499,1.435,0.000,0.099,1517.800,588.000,3.005,8.998,0.190,467,0,0
12_14:55:10.169,9.499,5.516,0.000,0.126,1458.600,588.000,3.003,9.006,0.190,489,0,0
12_14:55:10.439,9.499,10.015,0.000,0.113,1463.800,589.000,3.003,9.010,0.190,478,0,0
12_14:55:10.740,9.499,14.054,0.000,0.118,1528.200,588.000,3.000,8.999,0.190,486,0,0
12_14:55:11.044,9.999,10.941,0.000,0.103,1515.300,590.000,3.007,9.001,0.190,472,0,0
12_14:55:11.347,9.999,6.328,0.000,0.094,1531.900,588.000,3.005,9.004,0.186,479,0,0
12_14:55:11.650,9.999,2.323,0.000,0.059,1498.300,588.000,3.003,9.004,0.190,478,0,0
12_14:55:11.924,10.499,2.436,0.000,0.131,1536.700,588.000,2.998,9.011,0.187,485,0,0
12_14:55:12.269,10.499,6.564,0.000,0.123,1513.900,589.000,3.002,8.999,0.188,562,0,0
12_14:55:12.555,10.499,11.402,0.000,0.115,1517.900,588.000,3.002,9.000,0.190,407,0,0
12_14:55:12.837,11.000,13.941,0.000,0.136,1548.000,588.000,3.003,9.004,0.186,480,0,0
12_14:55:13.132,10.999,9.767,0.000,0.101,1526.800,588.000,3.002,8.994,0.188,478,0,0
12_14:55:13.411,10.999,5.709,0.000,0.076,1470.400,588.000,3.003,9.006,0.193,478,0,0
12_14:55:13.705,10.999,1.650,0.000,0.114,1542.900,588.000,3.000,9.002,0.191,481,0,0
12_14:55:13.992,11.499,3.151,0.000,0.104,1536.300,588.000,3.001,9.000,0.191,482,0,0
12_14:55:14.349,11.499,7.360,0.000,0.128,1488.400,588.000,3.001,9.002,0.188,572,0,0
12_14:55:14.642,11.499,12.313,0.000,0.098,1535.000,589.000,3.000,8.998,0.192,403,0,0
12_14:55:14.952,11.999,12.843,0.000,0.104,1494.300,589.000,3.004,9.004,0.189,475,0,0
12_14:55:15.271,11.999,8.914,0.000,0.112,1451.800,589.000,3.002,9.003,0.187,568,0,0
12_14:55:15.573,11.999,3.953,0.000,0.086,1393.600,588.000,3.000,8.994,0.185,408,0,0
12_14:55:15.891,12.506,0.815,0.000,0.138,1538.500,589.000,3.002,8.996,0.187,479,0,0
12_14:55:16.146,12.499,4.907,0.000,0.095,1528.800,589.000,3.004,8.998,0.191,487,0,0
12_14:55:16.448,12.499,9.165,0.000,0.120,1509.100,589.000,3.006,9.004,0.186,473,0,0
12_14:55:16.751,12.499,13.253,0.000,0.096,1530.300,588.000,3.005,9.000,0.186,480,0,0
12_14:55:17.022,12.999,11.982,0.000,0.093,1546.900,588.000,3.001,9.001,0.187,479,0,0
12_14:55:17.387,12.999,7.737,0.000,0.107,1500.300,589.000,3.003,8.995,0.190,574,0,0
12_14:55:17.659,12.999,2.764,0.000,0.131,1484.000,589.000,3.004,9.001,0.188,397,0,0
12_14:55:17.961,13.499,2.058,0.000,0.068,1497.300,588.000,3.004,9.002,0.193,488,0,0
12_14:55:18.327,13.499,6.108,0.000,0.102,1434.600,588.000,2.998,9.003,0.187,579,0,0
12_14:55:18.597,13.499,11.057,0.000,0.144,1505.200,588.000,3.002,9.001,0.188,393,0,0
12_14:55:18.898,13.994,13.989,0.000,0.119,1524.200,589.000,3.001,9.001,0.190,485,0,0
12_14:55:19.172,13.999,9.955,0.000,0.111,1529.500,588.000,3.000,9.001,0.190,473,0,0
12_14:55:19.492,13.999,5.468,0.000,0.150,1490.900,589.000,2.999,9.010,0.189,487,0,0
12_14:55:19.805,13.999,1.169,0.000,0.083,1545.800,589.000,3.004,9.001,0.187,471,0,0
12_14:55:20.107,14.499,3.843,0.000,0.143,1508.500,589.000,3.005,9.000,0.190,481,0,0
12_14:55:20.455,14.499,8.602,0.000,0.094,1533.800,589.000,3.001,9.001,0.185,511,0,0
12_14:55:20.742,14.499,12.813,0.000,0.145,1503.100,588.000,3.004,9.001,0.189,446,0,0
12_14:55:21.016,14.999,12.407,0.000,0.117,1537.200,589.000,3.006,8.994,0.189,485,0,0
12_14:55:21.361,14.999,8.349,0.000,0.086,1529.200,589.000,3.003,8.997,0.183,570,0,0
12_14:55:21.668,14.999,3.388,0.000,0.127,1480.800,590.000,3.003,9.001,0.190,401,0,0
12_14:55:21.969,15.499,1.807,0.000,0.102,1540.600,589.000,3.003,9.001,0.187,479,0,0
12_14:55:22.316,15.499,5.916,0.000,0.132,1533.600,589.000,3.003,9.002,0.191,581,0,0
12_14:55:22.601,15.499,10.759,0.000,0.153,1510.100,584.000,3.000,9.003,0.190,399,0,0
12_14:55:22.908,15.843,14.462,0.000,0.099,1522.100,589.000,3.002,8.992,0.190,475,0,0
12_14:55:23.162,15.999,10.525,0.000,0.083,1520.100,589.000,3.001,8.997,0.191,480,0,0
12_14:55:23.477,15.999,6.146,0.000,0.127,1489.700,589.000,3.001,9.005,0.186,526,0,0
12_14:55:23.751,15.999,2.118,0.000,0.076,1453.200,589.000,3.001,9.001,0.185,434,0,0
12_14:55:24.037,16.499,2.569,0.000,0.102,1514.300,588.000,3.004,9.003,0.187,482,0,0
12_14:55:24.404,16.499,6.593,0.000,0.130,1563.200,589.000,3.004,9.005,0.186,586,0,0
12_14:55:24.676,16.499,11.558,0.000,0.082,1438.000,588.000,3.005,9.003,0.190,391,0,0
12_14:55:24.972,16.999,13.591,0.000,0.072,1519.600,589.000,3.005,9.001,0.190,486,0,0
12_14:55:25.312,16.999,9.512,0.000,0.130,1535.300,589.000,3.002,9.003,0.187,532,0,0
12_14:55:25.599,16.999,4.628,0.000,0.155,1477.500,580.000,3.000,8.998,0.190,433,0,0
12_14:55:25.901,17.030,0.580,0.000,0.128,1475.000,589.000,3.005,8.993,0.188,480,0,0
12_14:55:26.203,17.499,4.202,0.000,0.093,1531.000,589.000,3.000,9.001,0.188,477,0,0
12_14:55:26.489,17.499,8.666,0.000,0.111,1495.800,589.000,3.006,9.001,0.189,494,0,0
12_14:55:26.789,17.499,12.763,0.000,0.133,1504.800,588.000,3.007,9.000,0.190,468,0,0
12_14:55:27.092,17.999,12.523,0.000,0.101,1511.800,589.000,3.000,9.001,0.191,469,0,0
12_14:55:27.407,17.999,8.438,0.000,0.100,1516.000,588.000,3.000,9.001,0.185,585,0,0
12_14:55:27.714,17.999,3.457,0.000,0.088,1480.100,588.000,3.001,9.001,0.186,402,0,0
12_14:55:28.018,18.499,1.746,0.000,0.114,1515.100,589.000,3.004,9.002,0.190,476,0,0
12_14:55:28.363,18.499,5.827,0.000,0.113,1517.100,589.000,3.004,9.001,0.190,575,0,0
12_14:55:28.647,18.499,10.651,0.000,0.130,1436.500,589.000,3.002,9.001,0.189,405,0,0
12_14:55:28.942,18.906,14.432,0.000,0.108,1462.400,589.000,3.001,8.999,0.190,475,0,0
12_14:55:29.246,18.999,10.366,0.000,0.103,1498.100,589.000,2.997,9.001,0.191,485,0,0
12_14:55:29.547,18.999,6.208,0.000,0.130,1513.500,588.000,3.003,9.008,0.186,476,0,0
12_14:55:29.819,18.999,2.227,0.000,0.124,1531.500,589.000,3.000,9.002,0.188,484,0,0
12_14:55:30.121,19.499,2.747,0.000,0.092,1510.200,588.000,3.004,9.004,0.190,472,0,0
12_14:55:30.472,19.499,6.814,0.000,0.120,1522.400,588.000,3.002,9.004,0.187,580,0,0
12_14:55:30.758,19.499,11.775,0.000,0.157,1524.100,577.000,3.002,9.000,0.190,399,0,0
12_14:55:31.049,19.999,13.205,0.000,0.070,1515.900,588.000,3.002,9.001,0.190,484,0,0
12_14:55:31.425,19.999,8.993,0.000,0.139,1605.000,588.000,3.004,9.007,0.188,563,0,0
12_14:55:31.694,19.999,4.028,0.000,0.074,1496.500,588.000,2.999,9.005,0.184,403,0,0
12_14:55:31.995,20.505,0.708,0.000,0.120,1506.500,588.000,3.000,8.995,0.190,480,0,0
12_14:55:32.329,20.499,4.791,0.000,0.139,1467.000,588.000,3.001,8.999,0.190,480,0,0
12_14:55:32.551,20.499,8.822,0.000,0.084,1495.900,588.000,3.004,9.008,0.185,475,0,0
12_14:55:32.853,20.499,12.853,0.000,0.145,1520.700,588.000,3.003,9.000,0.191,487,0,0
12_14:55:33.127,20.999,12.393,0.000,0.171,1556.000,554.000,3.003,9.004,0.189,478,0,0
12_14:55:33.471,20.999,8.301,0.000,0.105,1517.200,588.000,3.005,8.997,0.186,576,0,0
12_14:55:33.777,20.999,3.344,0.000,0.116,1401.400,588.000,3.002,8.997,0.188,401,0,0
12_14:55:34.094,21.499,1.450,0.000,0.156,1341.300,579.000,3.004,9.004,0.187,476,0,0
12_14:55:34.334,21.499,5.463,0.000,0.139,1359.400,588.000,3.002,9.002,0.189,477,0,0
12_14:55:34.637,21.499,9.552,0.000,0.108,1359.400,588.000,3.005,9.001,0.184,486,0,0
12_14:55:34.939,21.499,14.062,0.000,0.083,1359.400,588.000,3.002,9.000,0.189,481,0,0
12_14:55:35.242,21.999,11.139,0.000,0.127,1517.200,587.000,3.002,8.997,0.187,473,0,0
12_14:55:35.594,21.999,6.794,0.000,0.122,1554.600,588.000,3.002,8.998,0.190,586,0,0
12_14:55:35.895,21.999,1.680,0.000,0.122,1557.700,588.000,3.005,9.001,0.189,400,0,0
12_14:55:36.196,22.499,3.064,0.000,0.148,1522.800,588.000,3.000,9.008,0.188,482,0,0
12_14:55:36.557,22.499,7.570,0.000,0.121,1516.500,588.000,3.005,9.009,0.191,559,0,0
12_14:55:36.832,22.499,12.279,0.000,0.101,1513.000,588.000,3.001,9.001,0.186,402,0,0
12_14:55:37.133,22.999,12.951,0.000,0.118,1476.300,588.000,3.003,9.001,0.190,475,0,0
12_14:55:37.477,22.999,8.677,0.000,0.120,1523.500,588.000,3.003,9.001,0.190,577,0,0
12_14:55:37.767,22.999,3.880,0.000,0.123,1493.700,588.000,3.001,9.003,0.191,396,0,0
12_14:55:38.053,23.496,0.993,0.000,0.132,1555.200,588.000,3.001,9.006,0.190,476,0,0
12_14:55:38.355,23.499,5.046,0.000,0.132,1491.300,588.000,3.001,8.997,0.189,489,0,0
12_14:55:38.660,23.499,9.552,0.000,0.119,1528.600,587.000,3.005,9.001,0.186,478,0,0
12_14:55:38.942,23.499,13.591,0.000,0.127,1524.900,588.000,3.002,9.001,0.190,472,0,0
12_14:55:39.244,23.999,11.653,0.000,0.108,1514.200,588.000,3.001,9.001,0.184,489,0,0
12_14:55:39.601,23.999,6.928,0.000,0.112,1516.900,587.000,3.000,9.004,0.186,548,0,0
12_14:55:39.881,23.999,2.438,0.000,0.097,1522.700,587.000,3.005,8.999,0.186,405,0,0
12_14:55:40.172,24.499,2.402,0.000,0.110,1530.000,587.000,3.002,9.007,0.185,484,0,0
12_14:55:40.517,24.499,6.510,0.000,0.102,1469.800,587.000,3.004,8.996,0.189,575,0,0
12_14:55:40.803,24.499,11.364,0.000,0.128,1550.600,587.000,3.004,9.008,0.188,395,0,0
12_14:55:41.095,25.003,13.856,0.000,0.117,1508.700,587.000,3.004,9.000,0.189,487,0,0
12_14:55:41.414,24.999,9.568,0.000,0.117,1521.900,588.000,3.005,9.002,0.188,474,0,0
12_14:55:41.695,24.999,5.536,0.000,0.090,1417.200,587.000,3.002,9.000,0.189,477,0,0
12_14:55:41.998,24.999,1.230,0.000,0.166,1508.400,582.000,3.001,8.999,0.192,484,0,0
12_14:55:42.303,25.499,3.986,0.000,0.120,1513.700,587.000,3.003,9.003,0.190,477,0,0
12_14:55:42.630,25.499,8.350,0.000,0.135,1506.100,587.000,3.003,9.005,0.190,538,0,0
12_14:55:42.906,25.499,12.683,0.000,0.110,1369.400,588.000,3.000,9.004,0.190,425,0,0
12_14:55:43.193,25.999,12.635,0.000,0.118,1518.200,587.000,3.004,9.004,0.187,483,0,0
12_14:55:43.540,25.999,8.597,0.000,0.099,1495.000,588.000,3.001,9.001,0.191,575,0,0
12_14:55:43.845,25.999,3.422,0.000,0.123,1506.500,587.000,3.002,8.999,0.190,404,0,0
12_14:55:44.147,26.499,1.378,0.000,0.112,1550.800,587.000,3.006,8.995,0.190,480,0,0
12_14:55:44.476,26.499,5.515,0.000,0.107,1424.500,587.000,3.003,9.001,0.187,481,0,0
12_14:55:44.752,26.499,10.136,0.000,0.156,1517.800,578.000,3.002,9.001,0.185,477,0,0
12_14:55:45.071,26.539,14.446,0.000,0.140,1504.000,587.000,3.004,9.005,0.187,484,0,0
12_14:55:45.362,26.999,10.548,0.000,0.129,1539.900,587.000,3.001,9.001,0.189,472,0,0
12_14:55:45.659,26.999,6.302,0.000,0.127,1524.200,587.000,3.001,9.004,0.187,479,0,0
12_14:55:45.961,26.999,2.240,0.000,0.080,1499.400,587.000,3.000,9.005,0.194,484,0,0
12_14:55:46.236,27.499,2.524,0.000,0.148,1525.900,587.000,3.001,9.003,0.191,476,0,0
12_14:55:46.583,27.499,6.643,0.000,0.122,1520.600,587.000,3.000,9.001,0.194,587,0,0
12_14:55:46.884,27.499,11.528,0.000,0.093,1503.600,587.000,3.001,8.990,0.186,391,0,0
12_14:55:47.157,27.998,13.700,0.000,0.109,1507.200,587.000,3.000,9.002,0.190,482,0,0
12_14:55:47.475,27.999,9.661,0.000,0.132,1488.300,587.000,3.003,9.009,0.190,482,0,0
12_14:55:47.775,27.999,5.136,0.000,0.104,1512.600,587.000,3.001,9.004,0.191,477,0,0
12_14:55:48.094,27.999,1.070,0.000,0.121,1534.600,587.000,3.004,8.996,0.190,480,0,0
